rank_by_test_auc,rank_run_order,n_estimators,max_depth,min_samples_leaf,train_roc_auc,test_roc_auc,auc_gap_train_minus_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1,test_f1,test_precision,test_recall,overfit_flag_auc_gap_gt_0_10
41,97,1000,None,1,1.0,0.9441558441558442,0.05584415584415581,1.0,0.9021739130434783,1.0,0.8577922077922078,1.0,0.9361702127659575,0.9295774647887324,0.9428571428571428,False
42,29,100,4,1,0.9791975613774921,0.9441558441558442,0.03504171722164795,0.9222520107238605,0.8369565217391305,0.9202710495963091,0.8461038961038961,0.9484902309058615,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
43,65,500,3,1,0.9739660570110398,0.9441558441558442,0.029810212855195584,0.9142091152815014,0.8369565217391305,0.915080738177624,0.8461038961038961,0.9428571428571428,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
44,9,50,4,1,0.9775498434667985,0.9441558441558442,0.033393999310954325,0.9249329758713136,0.8260869565217391,0.92622343054869,0.8389610389610389,0.9501779359430605,0.8769230769230769,0.95,0.8142857142857143,False
45,92,1000,4,10,0.9743779864887131,0.9441558441558442,0.030222142332868907,0.9115281501340483,0.8260869565217391,0.9217951886637008,0.8389610389610389,0.9405405405405406,0.8769230769230769,0.95,0.8142857142857143,False
46,48,300,3,10,0.9700115340253748,0.9441558441558441,0.025855689869530685,0.900804289544236,0.8152173913043478,0.9022079420003295,0.8318181818181818,0.933572710951526,0.8682170542635659,0.9491525423728814,0.8,False
47,77,500,None,1,1.0,0.9438311688311688,0.0561688311688312,1.0,0.9021739130434783,1.0,0.8577922077922078,1.0,0.9361702127659575,0.9295774647887324,0.9428571428571428,False
48,78,500,None,3,0.9942741802603394,0.9435064935064935,0.05076768675384591,0.9544235924932976,0.8804347826086957,0.9663659581479651,0.8746753246753247,0.9698046181172292,0.9185185185185185,0.9538461538461539,0.8857142857142857,False
49,45,300,3,1,0.9750370736529905,0.9435064935064935,0.03153058014649701,0.9168900804289544,0.8369565217391305,0.9168108419838523,0.8461038961038961,0.9447415329768271,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
50,76,500,5,10,0.9743367935409458,0.9435064935064935,0.030830300034452307,0.9115281501340483,0.8260869565217391,0.9175729115175482,0.8389610389610389,0.940754039497307,0.8769230769230769,0.95,0.8142857142857143,False
51,10,50,4,3,0.9734717416378317,0.9435064935064935,0.029965248131338162,0.9222520107238605,0.8152173913043478,0.9329378810347668,0.8318181818181818,0.947935368043088,0.8682170542635659,0.9491525423728814,0.8,False
52,11,50,4,5,0.9726478826824848,0.9435064935064934,0.029141389175991406,0.9195710455764075,0.8369565217391305,0.9227632229362333,0.8461038961038961,0.9464285714285714,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
53,14,50,5,3,0.9775910364145659,0.9435064935064934,0.0340845429080725,0.9222520107238605,0.8260869565217391,0.9329378810347668,0.8389610389610389,0.947935368043088,0.8769230769230769,0.95,0.8142857142857143,False
54,68,500,3,10,0.9693936398088647,0.9435064935064934,0.025887146302371322,0.9088471849865952,0.8152173913043478,0.9116205305651672,0.8318181818181818,0.9390681003584229,0.8682170542635659,0.9491525423728814,0.8,False
